"U_c / U_c(1)";"\sigma_{U_c / U_c(1)}";"f / f_0";"\sigma_{f / f_0}"
0.6099912358;	0.005803419337;	0.9618202456;	0.00007442758692
0.6609447248;	0.005480959843;	0.9664637292;	0.00007424204737
0.7178820756;	0.005182274273;	0.9711072129;	0.00007405870809
0.7657529693;	0.004970853387;	0.9747188113;	0.00007391761004
0.815588262;	0.004781636229;	0.9783304097;	0.00007377780635
0.8651817825;	0.00461898676;	0.981942008;	0.00007363928137
0.9179183414;	0.004469148533;	0.9860695491;	0.00007348251314
0.9657590136;	0.004350395493;	0.9907130327;	0.00007330809304
1;	            0.004273968879;	1;          	0.00007296530608
0.9654265768;	0.004351170655;	1.007223197;	0.00007270414526
0.912297138;	0.004484114411;	1.012898566;	0.00007250221311
0.8001752848;	0.004837158116;	1.022701476;	0.00007216002459
0.7406691045;	0.005077623028;	1.027860902;	0.00007198321066
0.689745837;	0.005322719323;	1.032504386;	0.00007182597471
0.6372208287;	0.005623760751;	1.037663812;	0.00007165334187
0.6079663937;	0.00581751251;	1.040759468;	0.00007155079561
